;År 2023;;År 2022;År 2021;År 2020;År 2019;År 2018;År 2017;År 2016;År 2015;År 2014;År 2013;År 2012;År 2011
Januari; 980 607;;470 929;132 884;1 076 789;1 121 727;1 134 957;1 134 649;1 001 395;941 961;906 510;827 196;828 708;757960
Februari; 941 190;;510 526;80 112;1 073 760;1 104 633;1 113 610;1 110 762;1 040 587;936 480;900 244;828 117;831 076;767522
Mars;1 178 197;;787 787;103 004;517 489;1 357 129;1 416 031;1 348 101;1 258 475;1 127 251;1 097 947;998 590;1 001 995;932029
April;1 304 723;;1 073 153;120 415;26 817;1 441 419;1 521 498;1 493 410;1 298 275;1 249 044;1 240 409;1 097 956;1 038 336;979245
Maj;1 506 595;;1 289 047;151 001;42 290;1 633 296;1 708 943;1 708 098;1 518 846;1 398 905;1 358 727;1 252 203;1 169 871;1132510
Juni;1 624 989;;1 444 916;285 991;73 878;1 822 625;1 871 456;1 837 573;1 612 139;1 547 393;1 506 988;1 336 142;1 258 119;1189244
Juli;1 748 033;;1 479 863;630 171;199 871;1 860 802;1 910 643;1 918 001;1 718 605;1 588 890;1 507 671;1 336 775;1 201 085;1157495
Augusti;1 613 334;;1 430 023;684 641;269 193;1 765 878;1 803 197;1 799 805;1 622 754;1 509 626;1 420 580;1 285 831;1 175 766;1130990
September;1 510 468;;1 360 223;641 802;240 935;1 654 570;1 679 308;1 686 283;1 554 772;1 450 510;1 344 840;1 244 568;1 166 804;1150039
Oktober;1 428 248;;1 313 474;768 381;274 464;1 550 669;1 592 051;1 602 768;1 496 962;1 387 106;1 322 001;1 211 709;1 145 126;1107236
November;1 159 269;;1 086 910;779 549;134 789;1 238 148;1 317 068;1 300 789;1 269 895;1 135 542;1 066 725;1 033 056;996 563;970221
December;1 135 345;;1 054 194;675 500;160 738;1 177 098;1 223 106;1 218 670;1 207 415;1 059 962;1 009 100;957 638;864 259;864057
Total;16 130 998;;13 301 045;5 053 451;4 091 013;17 727 994;18 291 868;18 158 909;16 600 120;15 332 670;14 681 742;13 409 781;12 677 708;12138548
